# ra           dec         plate  mjd     fiber  redshift  
  3.954718     24.104629   6881   56540   830    0.563     
  4.196135     6.773228    4537   55806   431    0.579     
  4.768901     2.576387    4300   55528   605    0.61      
  4.884627     -3.385767   4366   55536   180    0.744     
  6.388152     17.618342   7590   56944   242    0.516     
  7.455248     18.276846   7590   56944   30     0.793     
  7.715712     5.277869    4418   55862   349    0.632     
  8.653561     3.041847    4303   55508   345    0.638     
  9.438402     26.067149   6284   56310   723    0.703     
  9.947686     -0.5986     690    52261   146    0.729     
  10.514649    25.213077   6285   56248   661    0.623     
  11.105792    -0.355173   3590   55201   427    0.483     
  11.23761     27.288215   7671   57360   67     0.464     
  12.505852    0.311525    1084   52591   429    0.5       
  12.874337    -0.088377   3590   55201   154    0.528     
  14.293857    -3.496161   7912   57310   733    0.634     
  14.557033    0.235869    1083   52520   481    0.679     
  15.032639    -6.804542   7156   56959   844    0.547     
  16.267714    12.683279   4660   56191   135    0.516     
  16.679569    25.859584   7679   57367   399    0.702     
  17.429472    23.174505   5120   55895   969    0.516     
  18.135949    23.423143   7681   57042   382    0.679     
  18.577551    4.298663    4312   55511   803    0.62      
  18.587149    27.257614   6258   56238   773    0.682     
  19.01564     4.649299    4313   55857   503    0.492     
  19.318195    1.384344    7876   57002   781    0.658     
  19.761017    0.205164    4228   55484   618    0.556     
  20.843545    -0.376345   7818   56989   418    0.437     
  21.018809    4.538099    4310   55508   529    0.531     
  21.56902     -5.935199   7047   56572   241    0.566     
  24.263147    -6.643723   7162   56605   721    0.585     
  24.506559    -0.829541   4231   55444   460    0.433     
  24.546079    20.023192   7248   56630   626    0.762     
  25.076687    18.471931   7248   56630   256    0.66      
  25.312443    0.910685    4231   55444   702    0.499     
  25.494527    27.720215   6266   56223   700    0.746     
  25.532303    -0.222451   4231   55444   237    0.49      
  25.556914    0.731581    3639   55205   833    0.593     
  26.122496    24.922236   7688   57360   136    0.757     
  26.18819     11.560384   4662   55590   141    0.645     
  28.095728    5.753744    4403   55536   190    0.634     
  30.216495    -3.530111   4347   55830   409    0.651     
  30.73591     21.165633   7632   56987   878    0.73      
  31.27352     3.183686    4269   55502   581    0.559     
  31.306875    -1.091294   702    52178   295    0.429     
  31.321791    -6.242139   7238   56660   265    0.718     
  31.790093    27.810421   7659   57060   691    0.619     
  32.052691    0.698833    1074   52937   538    0.694     
  32.054568    -5.224302   7238   56660   899    0.556     
  32.988487    -4.580802   7237   56662   579    0.491     
  34.551888    -3.931989   8123   56931   831    0.79      
  34.685467    -0.187083   4237   55478   388    0.649     
  35.191255    -5.854595   8125   56955   289    0.691     
  35.784508    -0.486712   3615   55856   486    0.649     
  36.107204    0.235686    3647   55181   570    0.653     
  36.510264    -5.607868   8356   56989   415    0.656     
  36.779961    0.464642    3647   56596   686    0.478     
  37.403962    0.629861    6780   56577   848    0.583     
  38.325954    1.463407    4263   55484   207    0.509     
  38.447178    -0.878444   4239   55458   375    0.782     
  39.394345    -0.177605   3744   55209   35     0.485     
  40.163938    -8.249358   7057   56593   433    0.622     
  40.259211    -7.095977   7057   56593   623    0.721     
  41.245596    0.960246    6782   56572   805    0.7       
  52.952325    1.198288    810    52326   430    0.442     
  55.25569     -0.792147   714    52201   215    0.649     
  55.436379    -0.481782   714    52201   147    0.623     
  114.88417    36.643105   3667   55566   343    0.553     
  116.00981    32.676299   4443   55539   151    0.561     
  116.42878    46.750869   3665   55247   99     0.685     
  117.09193    44.475805   6375   56323   727    0.561     
  118.12007    22.82001    4473   55589   887    0.791     
  118.62926    47.917394   3675   55183   112    0.515     
  118.72773    36.807166   3800   55486   289    0.467     
  119.08128    10.535227   4511   55602   853    0.652     
  119.19259    35.143727   3801   55509   449    0.601     
  119.90701    27.449703   4458   55536   595    0.478     
  120.16922    41.881671   5944   56220   894    0.496     
  120.41008    44.69366    3678   55208   59     0.52      
  120.48948    28.439104   860    52319   123    0.693     
  120.96358    39.884206   3803   55513   375    0.553     
  121.23199    19.156817   4487   55866   777    0.468     
  121.7448     11.058283   4510   55559   891    0.582     
  123.04056    48.906414   7378   56715   645    0.639     
  123.47682    40.109027   3806   55505   449    0.503     
  125.06455    54.007952   3701   55540   971    0.617     
  125.14986    9.534272    5496   55888   655    0.693     
  125.48917    31.515375   4446   55589   303    0.747     
  125.746      58.348135   5152   56010   651    0.459     
  126.00815    51.523622   3695   55212   428    0.519     
  126.23915    52.63212    3690   55182   142    0.532     
  126.34926    11.404954   2423   54149   558    0.494     
  126.45969    3.49544     4762   55888   82     0.57      
  126.74363    39.603148   3761   55272   239    0.562     
  127.50623    5.899015    4764   55646   705    0.557     
  127.68137    37.648966   8857   57449   988    0.553     
  128.28778    56.153052   7374   56751   650    0.722     
  128.38469    51.891432   3695   55212   933    0.591     
  130.30355    45.410237   6383   56362   718    0.553     
  131.09423    33.843954   5186   56337   510    0.487     
  131.21587    32.968968   2960   54561   578    0.692     
  135.19772    11.510222   2575   54085   507    0.407     
  137.18036    16.968928   5297   55913   3      0.579     
  139.26653    -2.272758   3766   55213   257    0.472     
  140.04698    58.512485   7445   56720   545    0.773     
  140.23949    -0.939353   3766   55213   947    0.485     
  140.74748    42.501514   4639   55944   271    0.484     
  141.44357    0.196618    3823   55534   816    0.628     
  141.46819    35.754747   4576   55592   429    0.506     
  141.67826    46.054306   5813   56363   57     0.499     
  142.55723    14.0437     5313   55973   593    0.453     
  143.36945    33.376138   5805   56336   347    0.616     
  143.73457    -2.649977   3767   55214   251    0.68      
  144.00489    -1.947661   3767   55214   193    0.639     
  144.19598    38.531347   4574   55621   857    0.516     
  145.01145    38.834404   4572   55622   524    0.742     
  146.49764    7.360801    4873   55926   563    0.617     
  146.76557    15.253318   5320   55999   691    0.639     
  147.045541   0.849413    3827   55565   699    0.624     
  147.17687    31.275317   5799   56325   413    0.661     
  148.53022    36.172183   4573   55587   191    0.587     
  150.4755     40.275244   4566   55630   341    0.556     
  150.76418    39.825851   4566   55630   285    0.539     
  150.77057    16.906379   5326   56002   67     0.55      
  150.95158    49.585391   5739   55976   992    0.493     
  150.96345    22.182815   5784   56029   905    0.511     
  151.18737    10.242349   1307   52999   80     0.647     
  151.35276    32.90723    6468   56311   919    0.54      
  153.30366    7.592618    5334   55928   215    0.667     
  154.93556    54.582811   6696   56398   439    0.549     
  155.37696    18.383319   5884   56046   385    0.502     
  155.87057    8.49099     5339   55922   188    0.722     
  155.88648    50.626608   8168   56992   776    0.524     
  156.17524    18.203987   5884   56046   215    0.794     
  157.12723    28.212292   6456   56339   247    0.513     
  157.31865    57.781647   7088   56657   567    0.48      
  157.45628    61.934797   7090   56659   827    0.613     
  158.43845    -0.714215   3785   55241   845    0.681     
  158.59477    27.858389   6457   56330   749    0.563     
  158.82881    26.234024   6457   56330   207    0.597     
  159.13969    1.395242    3833   55290   745    0.742     
  159.36065    2.701029    4734   55646   687    0.656     
  159.49127    44.027998   4691   55651   19     0.727     
  160.11345    -1.348577   3771   55544   757    0.493     
  160.33715    60.600492   7096   56683   387    0.564     
  160.49322    14.745804   5350   56009   615    0.461     
  161.05947    7.691402    4853   55928   561    0.524     
  161.29834    0.828175    3834   56014   831    0.67      
  162.11655    16.631141   5352   56269   714    0.61      
  162.85528    28.273673   6446   56363   493    0.589     
  163.17616    34.642089   4631   55617   426    0.532     
  163.49328    40.281047   4629   55630   885    0.663     
  163.49698    12.490312   5357   55956   523    0.509     
  164.94588    8.306828    5359   55953   317    0.532     
  166.21246    27.08859    6412   56358   835    0.564     
  166.58251    10.086742   5361   55973   235    0.483     
  166.73611    13.822326   5360   55983   113    0.627     
  166.79053    29.444543   6443   56367   91     0.595     
  167.4653     40.170922   4620   55652   251    0.662     
  168.45037    33.870816   4623   55621   421    0.507     
  168.47572    -1.480058   3788   55246   761    0.567     
  168.56152    62.363092   7109   56658   656    0.769     
  169.16897    37.272101   8849   57457   680    0.606     
  169.4409     7.387715    5369   56272   411    0.514     
  169.88338    34.448912   4623   55621   159    0.536     
  170.43357    35.748574   8849   57457   131    0.72      
  171.56507    51.557094   6691   56413   773    0.586     
  172.24938    26.153314   6414   56306   944    0.424     
  172.40914    53.971688   8164   57127   951    0.727     
  172.5429     40.941512   4655   55620   652    0.645     
  172.58657    42.615252   4699   55684   697    0.645     
  172.60239    30.66919    6436   56363   293    0.739     
  173.55533    38.854759   1972   53466   266    0.535     
  176.59164    41.994421   4698   55623   807    0.643     
  177.15744    37.839997   4653   55622   883    0.498     
  179.11134    -2.230028   3776   55209   313    0.584     
  179.1764     43.111198   6639   56385   763    0.564     
  179.21882    52.307512   6683   56416   835    0.642     
  179.64358    48.659639   6677   56385   182    0.461     
  180.14503    -0.048446   3843   55278   15     0.596     
  180.41774    26.325975   5967   56063   311    0.765     
  180.58418    38.153678   4649   55621   513    0.614     
  181.28827    17.657043   5847   56037   641    0.793     
  181.58728    3.068711    4748   55631   723    0.508     
  181.74872    24.473852   5970   56072   231    0.655     
  183.27934    -1.77014    3777   55210   517    0.673     
  183.96645    5.975963    4832   55680   397    0.492     
  183.99488    54.872447   6688   56412   969    0.685     
  184.07555    44.64065    6637   56370   641    0.768     
  184.39567    36.68631    4613   55591   877    0.736     
  184.3962     36.685047   4701   55709   47     0.739     
  185.07598    33.039289   4612   55590   67     0.605     
  185.56723    11.056064   5399   55956   312    0.777     
  185.90457    20.14244    5850   56042   719    0.579     
  186.92875    67.392428   7120   56720   605    0.653     
  187.45289    45.301337   7422   56799   379    0.561     
  187.67143    0.978137    4752   55653   123    0.608     
  187.75376    7.365182    5402   55927   279    0.554     
  187.79909    18.983079   5852   56034   903    0.638     
  187.9663     31.417917   6479   56364   251    0.595     
  188.9646     53.881017   6680   56420   359    0.62      
  189.41425    52.293771   6674   56416   717    0.586     
  189.56862    2.891483    521    52326   391    0.682     
  190.43315    24.628602   5986   56328   657    0.652     
  190.80117    43.164859   6617   56365   265    0.6       
  190.92917    63.02759    781    52373   486    0.617     
  192.95993    0.469497    3850   55575   627    0.586     
  193.03012    3.388814    4757   55653   377    0.524     
  193.34809    2.73349     4757   55653   281    0.673     
  193.39829    33.593171   3974   55320   361    0.44      
  193.51862    27.11018    6480   56340   202    0.601     
  193.6942     11.207344   5415   55982   634    0.635     
  194.09166    42.113889   4704   55681   523    0.669     
  194.13089    31.009652   6484   56358   653    0.671     
  194.5999     48.51554    6665   56390   761    0.481     
  196.24741    45.82494    7413   56769   85     0.702     
  196.57844    18.883196   5863   56042   634    0.669     
  197.63031    7.938992    5423   55958   348    0.578     
  199.49057    14.487615   5425   56003   765    0.519     
  199.9798     27.346275   5997   56309   809    0.476     
  200.94876    -2.156221   4049   55591   841    0.618     
  201.66035    45.909009   6625   56386   109    0.496     
  202.64495    40.901275   8389   57488   60     0.798     
  202.68622    -2.692182   4048   55602   271    0.497     
  203.20007    -0.238909   4046   55605   398    0.668     
  203.31404    13.904826   5432   56008   902    0.553     
  203.91628    23.932689   5998   56087   642    0.604     
  204.24938    45.546426   6627   56369   943    0.463     
  204.43762    55.182833   6827   56428   392    0.643     
  204.79252    43.784494   6627   56369   41     0.637     
  205.44731    42.682691   8391   57511   629    0.548     
  205.54982    0.497487    4043   55630   678    0.571     
  205.92145    30.591003   6493   56338   671    0.55      
  206.45247    2.413103    4039   55648   687    0.516     
  207.41905    16.652264   5444   56038   301    0.462     
  207.93728    38.568974   4710   55707   297    0.572     
  208.08368    0.442012    4040   55605   827    0.652     
  209.42496    10.935102   5445   55987   940    0.727     
  210.58968    32.916957   3862   55276   631    0.456     
  210.63528    31.777456   3862   55276   395    0.733     
  210.72497    0.650439    4037   55631   877    0.723     
  210.78831    37.263724   3854   55247   802    0.533     
  210.94721    5.707284    4863   55688   173    0.448     
  211.03748    24.742712   6008   56093   293    0.711     
  211.22514    36.477908   3855   55268   527    0.497     
  211.268      31.493228   3862   55276   267    0.504     
  211.60886    34.58587    3858   55273   643    0.531     
  211.86463    43.837848   6055   56102   419    0.579     
  213.58696    52.274979   7339   56739   298    0.762     
  213.61995    54.786589   6797   56426   185    0.578     
  213.62686    33.377628   3858   55273   53     0.579     
  213.76505    13.33197    5458   56011   575    0.722     
  214.09602    18.792615   5895   56046   216    0.408     
  214.503      53.343301   7338   56717   978    0.526     
  214.82259    47.853137   6751   56368   855    0.638     
  214.90848    36.059552   3859   55246   685    0.703     
  215.12328    32.31282    3863   55280   125    0.435     
  215.22237    23.647525   6013   56074   157    0.579     
  215.94263    1.171762    4027   55629   221    0.659     
  216.22126    48.363443   6747   56388   181    0.512     
  216.28483    45.656586   6056   56092   879    0.658     
  216.69265    13.57548    5463   56003   715    0.631     
  216.83231    64.208798   7124   56720   689    0.763     
  218.28103    58.483133   6807   56429   99     0.558     
  218.30256    36.534468   4714   56041   315    0.428     
  218.98371    28.65583    2137   54206   337    0.439     
  219.67918    39.650557   5171   56038   25     0.492     
  220.30367    8.592826    5472   55976   459    0.709     
  220.79808    5.963295    4859   55684   11     0.711     
  222.67673    12.15441    5475   56011   751    0.712     
  223.17055    3.048854    4018   55622   911    0.586     
  223.25564    51.530601   8401   57482   746    0.582     
  223.44021    0.684251    4019   55363   719    0.632     
  223.85943    45.668933   6737   56365   225    0.614     
  224.00413    14.350101   5477   56030   59     0.599     
  225.40292    35.175731   4717   55742   535    0.588     
  225.53556    15.434531   5482   56017   775    0.515     
  225.70636    32.160098   3870   55273   27     0.513     
  226.80956    10.72545    5485   56063   658    0.693     
  226.90971    46.877063   1050   52721   337    0.439     
  227.44177    40.922688   6054   56089   50     0.403     
  227.49397    18.871989   3956   55656   283    0.648     
  227.65867    35.082008   4717   55742   139    0.714     
  227.72306    55.568216   6795   56425   218    0.612     
  228.77968    39.322203   5167   56066   33     0.563     
  229.55914    37.602112   4980   56048   887    0.563     
  230.51066    1.714118    4011   55635   152    0.475     
  230.79311    29.887466   4721   55709   553    0.619     
  231.30689    23.841185   3954   55680   659    0.6       
  231.39004    29.336705   3879   55244   103    0.449     
  231.71615    27.872922   3963   55659   201    0.485     
  233.19451    49.916248   1166   52751   37     0.545     
  235.04022    17.614933   3932   55337   587    0.542     
  236.67335    16.158418   2518   54243   432    0.514     
  236.99525    36.567809   4970   56039   701    0.629     
  237.11815    28.962694   4726   55712   271    0.551     
  237.56615    23.303961   3941   55321   379    0.435     
  238.05646    6.959363    5210   56003   203    0.759     
  239.259      43.930142   6043   56096   541    0.75      
  239.73073    47.922731   6730   56425   925    0.52      
  240.44572    21.937172   3935   55326   73     0.49      
  240.77804    20.244132   3924   55332   529    0.464     
  241.12504    13.748518   4071   55660   383    0.525     
  241.67261    21.856299   3929   55335   353    0.535     
  242.72457    44.355382   6034   56103   813    0.749     
  243.34406    16.338941   4072   55362   67     0.664     
  244.42717    7.700714    4896   55712   820    0.715     
  244.78026    20.864405   4057   55357   811    0.503     
  245.02523    9.474876    5205   56040   7      0.492     
  245.6392     52.444798   6313   56460   677    0.636     
  247.81933    26.286647   1408   52822   10     0.732     
  249.78735    17.27844    4063   55364   827    0.618     
  250.60698    52.5029     6310   56455   41     0.55      
  251.67138    42.25161    6031   56091   203    0.541     
  251.83196    16.200616   4059   55360   259    0.752     
  252.51973    27.94393    4185   55469   788    0.694     
  252.76183    52.252717   6311   56447   947    0.622     
  252.89349    26.355458   4180   55679   509    0.626     
  254.7589     26.809565   4180   55679   834    0.4       
  257.22761    23.35472    4174   55659   781    0.762     
  258.01076    29.574569   5000   55715   919    0.658     
  318.46409    -1.330546   4382   55742   795    0.623     
  322.55165    1.899639    5143   55828   883    0.552     
  324.70287    9.135105    4093   55475   357    0.74      
  325.95583    8.930158    4094   55481   461    0.536     
  326.00742    6.51397     4092   55477   371    0.455     
  326.80927    -0.778515   4196   55478   180    0.683     
  328.33959    25.221768   5960   56097   99     0.693     
  328.60589    20.566133   5022   55827   716    0.502     
  329.043      0.298112    1106   52912   387    0.524     
  330.11827    8.874504    5067   55751   560    0.536     
  330.90826    0.858886    4198   55480   952    0.711     
  331.17438    6.758773    5067   55751   167    0.701     
  331.82682    -0.289779   1105   52937   160    0.709     
  333.9847     7.76169     5069   56211   473    0.479     
  334.13289    -0.932275   1104   52912   84     0.41      
  335.57028    13.840559   5042   55856   739    0.747     
  336.21071    20.967744   5946   56101   57     0.565     
  337.2121     17.788687   5031   56209   657    0.479     
  339.85115    22.148521   7585   57190   907    0.679     
  340.5447     3.817722    4292   55532   439    0.532     
  341.203      0.729772    4204   55470   982    0.637     
  341.36403    18.152855   5026   55855   213    0.544     
  341.74041    -0.545156   675    52590   105    0.416     
  343.2324     0.629762    4206   55471   751    0.517     
  343.53122    23.679772   6308   56215   825    0.543     
  344.17198    30.89333    6507   56478   885    0.526     
  347.32922    25.041512   6589   56536   919    0.553     
  348.00214    -0.604814   4209   55478   352    0.664     
